Date,Open,High,Low,Close,Adj Close,Volume
2014-09-08,2850.000000,2850.000000,2756.250000,2781.050049,2415.335938,236925
2014-09-09,2800.000000,2800.000000,2740.100098,2749.600098,2388.021973,178834
2014-09-10,2750.000000,2761.649902,2675.000000,2682.800049,2330.006104,320429
2014-09-11,2690.000000,2731.500000,2670.000000,2720.300049,2362.575195,408168
2014-09-12,2720.000000,2765.899902,2699.000000,2758.550049,2395.794678,225252
2014-09-15,2750.000000,2808.800049,2726.300049,2799.649902,2431.490479,404377
2014-09-16,2799.649902,2823.699951,2778.050049,2790.500000,2423.543457,425069
2014-09-17,2805.000000,2878.000000,2793.000000,2828.699951,2456.719971,608929
2014-09-18,2830.000000,3010.449951,2817.000000,2992.649902,2599.109863,632305
2014-09-19,3001.899902,3017.000000,2940.500000,2951.399902,2563.284668,312955
2014-09-22,2940.000000,3009.699951,2933.300049,2997.850098,2603.626709,248109
2014-09-23,2995.000000,3029.000000,2970.000000,2978.199951,2586.560547,304207
2014-09-24,2986.000000,2998.000000,2918.000000,2943.250000,2556.206299,313069
2014-09-25,2951.449951,2959.800049,2900.500000,2932.949951,2547.260498,647534
2014-09-26,2925.050049,2934.500000,2844.100098,2896.899902,2515.951660,368889
2014-09-29,2909.699951,2915.600098,2848.199951,2860.500000,2484.338379,233169
2014-09-30,2860.250000,2918.399902,2817.199951,2839.550049,2466.143311,542336
2014-10-01,2881.000000,2926.750000,2851.500000,2874.949951,2496.887939,447543
2014-10-07,2874.949951,2874.949951,2798.600098,2808.149902,2438.872314,301762
2014-10-08,2802.000000,2819.750000,2777.500000,2799.050049,2430.968994,431918
2014-10-09,2801.000000,2835.000000,2801.000000,2818.949951,2448.252197,495261
2014-10-10,2811.500000,2872.500000,2765.000000,2841.000000,2467.402344,471438
2014-10-13,2827.000000,2892.750000,2820.100098,2874.850098,2496.801514,473368
2014-10-14,2867.000000,2879.000000,2840.199951,2852.449951,2477.346680,429143
2014-10-15,2852.449951,2852.449951,2852.449951,2852.449951,2477.346680,0
2014-10-16,2874.000000,2910.000000,2725.949951,2798.949951,2430.882324,903551
2014-10-17,2890.000000,2909.100098,2739.000000,2873.899902,2495.976074,1062740
2014-10-20,2914.949951,2945.899902,2827.500000,2937.699951,2551.386230,715327
2014-10-21,2937.949951,3003.000000,2920.000000,2995.850098,2601.889160,681898
2014-10-22,3026.000000,3120.000000,3026.000000,3115.500000,2705.805420,705957
2014-10-27,3120.000000,3129.000000,3063.050049,3082.949951,2677.535889,354733
2014-10-28,3090.000000,3093.750000,3006.000000,3035.050049,2635.934814,556481
2014-10-29,3104.899902,3108.600098,3027.100098,3037.850098,2638.366699,815016
2014-10-30,3036.000000,3054.300049,3011.000000,3031.649902,2632.981445,712684
2014-10-31,3054.949951,3103.699951,3040.000000,3064.250000,2661.294678,731352
2014-11-03,3044.000000,3050.000000,2928.149902,3010.949951,2615.003906,613472
2014-11-05,3035.000000,3036.399902,2943.300049,2963.300049,2573.620361,779386
2014-11-07,2920.000000,2960.000000,2862.600098,2887.600098,2507.874512,11665947
2014-11-10,2909.000000,2938.000000,2895.000000,2933.100098,2547.391846,681780
2014-11-11,2930.000000,2953.899902,2913.600098,2924.000000,2539.487549,556075
2014-11-12,2926.000000,2975.000000,2926.000000,2967.350098,2577.137451,777888
2014-11-13,2983.000000,2983.000000,2913.149902,2927.500000,2542.528076,323763
2014-11-14,2930.800049,2983.000000,2921.100098,2964.399902,2574.574707,408553
2014-11-17,2950.050049,3040.850098,2950.050049,3028.899902,2630.593506,779054
2014-11-18,3042.699951,3048.750000,3004.199951,3017.750000,2620.909912,282465
2014-11-19,3020.199951,3042.750000,2976.750000,3000.350098,2605.797852,361646
2014-11-20,3009.899902,3009.899902,2951.000000,2995.550049,2601.628906,258380
2014-11-21,3003.899902,3048.300049,2991.449951,3028.350098,2630.115967,549348
2014-11-24,3028.000000,3087.250000,3028.000000,3078.699951,2673.844482,611061
2014-11-25,3085.000000,3095.699951,3020.899902,3042.750000,2642.621826,796224
2014-11-26,3045.000000,3109.449951,3012.250000,3099.500000,2691.909180,308719
2014-11-27,3076.000000,3135.600098,3076.000000,3104.149902,2695.948242,1022883
2014-11-28,3115.000000,3162.399902,3115.000000,3147.399902,2733.510010,259437
2014-12-01,3167.000000,3269.949951,3161.449951,3257.899902,2829.479004,519665
2014-12-02,3257.000000,3257.000000,3210.100098,3224.000000,2800.037354,226412
2014-12-03,3240.000000,3259.949951,3174.300049,3194.300049,2774.242920,431751
2014-12-04,3204.550049,3230.000000,3171.149902,3218.000000,2794.826172,317558
2014-12-05,3233.899902,3233.899902,3181.000000,3187.000000,2767.902832,509568
2014-12-08,3205.000000,3205.000000,3142.000000,3160.149902,2744.583496,196600
2014-12-09,3148.100098,3198.600098,3130.449951,3136.600098,2724.130615,328254
2014-12-10,3138.149902,3188.399902,3128.500000,3168.750000,2752.052979,301350
2014-12-11,3177.000000,3177.000000,3099.300049,3114.600098,2705.023926,282839
2014-12-12,3130.000000,3166.199951,3117.149902,3124.899902,2713.969238,221565
2014-12-15,3126.000000,3250.000000,3043.199951,3145.449951,2731.816895,252872
2014-12-16,3130.000000,3153.699951,3120.000000,3132.750000,2720.786865,567038
2014-12-17,3120.000000,3177.000000,3051.550049,3061.649902,2659.036133,411233
2014-12-18,3112.000000,3114.149902,3028.050049,3065.449951,2662.336670,511995
2014-12-19,3097.000000,3148.850098,3040.050049,3074.100098,2669.849365,1100472
2014-12-22,3070.000000,3122.899902,3061.399902,3114.300049,2704.762695,219295
2014-12-23,3114.000000,3156.899902,3100.600098,3137.449951,2724.868652,259270
2014-12-24,3155.000000,3162.000000,3074.449951,3100.500000,2692.777832,459923
2014-12-26,3118.399902,3118.399902,3067.199951,3096.399902,2689.216797,97054
2014-12-29,3119.000000,3153.649902,3096.949951,3150.050049,2735.812012,210657
2014-12-30,3155.000000,3160.000000,3073.000000,3084.850098,2679.186035,306502
2014-12-31,3075.000000,3120.000000,3046.750000,3106.649902,2698.118896,412694
2015-01-01,3111.000000,3120.000000,3083.000000,3105.399902,2697.033447,112464
2015-01-02,3115.000000,3119.000000,3090.550049,3098.100098,2690.693604,187675
2015-01-05,3104.000000,3146.899902,3098.100098,3119.399902,2709.192627,160068
2015-01-06,3098.000000,3098.000000,3001.000000,3014.399902,2618.000000,457760
2015-01-07,3014.000000,3022.000000,2966.699951,2974.050049,2582.956299,378882
2015-01-08,2978.000000,2999.699951,2951.750000,2984.000000,2591.597656,513335
2015-01-09,2998.850098,3011.000000,2966.250000,2992.250000,2598.762451,365342
2015-01-12,2988.000000,2988.000000,2924.000000,2937.149902,2550.908447,396343
2015-01-13,2951.000000,2962.550049,2887.550049,2893.199951,2512.738037,387266
2015-01-14,2909.000000,2924.699951,2883.000000,2903.050049,2521.292969,503348
2015-01-15,2940.000000,2970.000000,2928.649902,2950.550049,2562.546631,548030
2015-01-16,2950.399902,2970.000000,2891.300049,2897.699951,2516.646484,441344
2015-01-19,2900.050049,2920.000000,2836.000000,2841.300049,2467.663330,494968
2015-01-20,2860.000000,2868.000000,2797.199951,2828.649902,2456.676514,620515
2015-01-21,2833.899902,2894.000000,2833.899902,2875.149902,2497.061523,502824
2015-01-22,2899.949951,2909.000000,2811.600098,2838.850098,2465.535156,616241
2015-01-23,2870.000000,2895.600098,2851.000000,2862.800049,2486.335938,616170
2015-01-27,2860.000000,2869.649902,2823.000000,2857.750000,2481.949951,563105
2015-01-28,2860.000000,2895.500000,2840.550049,2865.100098,2488.333740,415685
2015-01-29,2860.000000,2898.750000,2857.000000,2876.500000,2498.234619,544345
2015-01-30,2887.550049,2936.850098,2857.399902,2865.500000,2488.680908,447643
2015-02-02,2877.949951,2888.800049,2810.000000,2833.199951,2460.628174,298183
2015-02-03,2857.500000,2860.000000,2791.000000,2812.399902,2442.563477,377426
2015-02-04,2770.000000,2864.000000,2750.000000,2829.500000,2457.415039,902976
2015-02-05,2811.000000,2857.800049,2811.000000,2847.300049,2472.874268,475877
2015-02-06,2847.199951,2852.949951,2771.250000,2776.300049,2411.210693,544388
2015-02-09,2750.000000,2764.949951,2705.000000,2728.800049,2369.956787,425252
2015-02-10,2715.000000,2752.000000,2690.699951,2720.149902,2362.444824,531510
2015-02-11,2721.600098,2765.300049,2701.550049,2753.350098,2391.278809,427723
2015-02-12,2782.350098,2819.000000,2775.600098,2807.550049,2438.351318,471851
2015-02-13,2822.399902,2868.199951,2815.000000,2852.899902,2477.737549,278795
2015-02-16,2855.000000,2861.649902,2793.300049,2805.000000,2436.136719,278310
2015-02-18,2705.000000,2728.000000,2645.699951,2663.750000,2313.460938,10612619
2015-02-19,2677.000000,2700.000000,2649.100098,2664.949951,2314.503418,4318965
2015-02-20,2670.000000,2683.399902,2647.550049,2658.899902,2309.248779,516004
2015-02-23,2658.899902,2662.850098,2629.250000,2647.899902,2299.695557,569905
2015-02-24,2652.949951,2670.000000,2640.149902,2651.399902,2302.735107,433596
2015-02-25,2665.000000,2670.000000,2615.000000,2624.550049,2279.416260,587341
2015-02-26,2630.000000,2635.050049,2600.000000,2622.250000,2277.418701,1172341
2015-02-27,2643.899902,2678.750000,2637.350098,2672.600098,2321.147217,1913808
2015-02-28,null,null,null,null,null,null
2015-03-02,2702.000000,2705.500000,2616.250000,2624.550049,2279.416260,817814
2015-03-03,2618.050049,2643.750000,2598.100098,2636.500000,2289.794922,438209
2015-03-04,2675.000000,2678.000000,2610.000000,2622.250000,2277.418701,456591
2015-03-05,2631.000000,2636.750000,2584.600098,2609.449951,2266.301758,428419
2015-03-09,2598.050049,2607.550049,2572.250000,2599.250000,2257.443115,801602
2015-03-10,2590.100098,2625.399902,2590.100098,2617.699951,2273.467041,605928
2015-03-11,2610.600098,2628.000000,2592.000000,2612.699951,2269.124512,577880
